Topic,Count,Name,Representation,KeyBERT,OpenAI,MMR,Representative_Docs,top_words,raw_content_samples,sample_indices
-1,543,-1_government_unionist_political_agreement,"['government', 'unionist', 'political', 'agreement', 'british', 'catholic', 'neill', 'nationalist', 'ira', 'source']","['british government', 'unionist', 'ulster', 'belfast', 'council', 'sinn_féin', 'nationalist', 'loyalist', 'irish', 'civil right']",['Northern Ireland conflict'],"['unionist', 'agreement', 'nationalist', 'neill', 'ira', 'nicra', 'british government', 'irish', 'belfast', 'civil right']","['n position defend itselfsince independence even less era position defend belfast catholic j j lee permission cambridge university historian intervene lynch british step press system ensure fair allocation local authority housing enquiry security hunt report later recommended abolition b special replaced new ulster defence regiment control british army cti vities source page writer issue longer civil right issue whether state exist explain meant describe reaction violence unionist government b irish government c british government give possible explanation reaction suggest reason explain violence erupted', 'h séan lemass neill visit séan lemass dublin august october november nicra march coalisland dungannon nicra march neill reform programme announced january april july august people democracy march attacked burntollet bridge neill resigns major james becomes prime minister violence belfast british army arrive downing street declaration ira july curfew lower fall road august operation demetrius internment january march july nicra march bloody_sunday direct_rule introduced bloody friday december agreed sunningdale_agreement may uwc strike direct_rule may removal special category status prisoner blanket dirty protest republican prisoner october first hunger', 'nationalist reaction using information page fill table appropriate look result neill economic political policy popular least popular community provide evidence support extension activity policy bringing genuine change ever possible neill satisfy side policy revision tip never total loyalty party make sure explain weakened position prime minister page unit civil right armalites establishment nicra nicra american influence civil right association nicra established start main founding member ivan cooper john hume']",[],[],[]
0,99,0_strike_uwc_executive_fuel,"['strike', 'uwc', 'executive', 'fuel', 'worker', 'supply', 'ordered', 'may', 'striker', 'blackout']","['council strike', 'uwc strike', 'unionist', 'support strike', 'trade unionist', 'unionist member', 'strike began', 'council uwc', 'loyalist bomb', 'strike brought']","[""Ulster Workers' Strike""]","['strike', 'uwc strike', 'worker council', 'ulster worker', 'executive resigned', 'electricity', 'unionist', 'shutdown', 'council uwc', 'sunningdale_agreement']","['han faulkner supporter ulster unionist party however support faulkner became chief executive alliance party supported took part executive result uwc action brian_faulkner chief executive resigned power_sharing executive collapsed ulster worker council strike may affect group protestant trade unionist called ulster worker council uwc organised strike may strike attracted support unionist politician loyalist paramilitary first support strike limited grew partly due uda intimidation improved coordination uwc strike brought standstill week industry close regular electricity blackout fuel supply strictly controlled hundred road block took place', 'organised strike may strike attracted support unionist politician loyalist paramilitary first support strike limited grew partly due uda intimidation improved coordination uwc strike brought standstill week industry close regular electricity blackout fuel supply strictly controlled hundred road block took place attempt organise demonstration failed loyalist bomb dublin monaghan increased pressure stormont executive uwc determination succeed increased british prime minister harold wilson speech calling sponger british government ordered army seize fuel supply uwc ordered total shut result uwc action brian_faulkner chief executive resigned power_sharing executive collapsed', 'eventually uwc ordered total shutdown army ordered take fuel supply loyalist bomb dublin monaghan ulster worker council strike may affect group protestant trade unionist called ulster worker council uwc organised strike may strike attracted support unionist politician loyalist paramilitary first support strike limited grew partly due uda intimidation improved coordination uwc strike brought standstill week industry close regular electricity blackout fuel supply strictly controlled']","['strike', 'uwc', 'executive', 'fuel', 'worker', 'supply', 'ordered', 'may', 'striker', 'blackout']","['bomb republicwilson c involvementministerial analyse uwc strike writing brief summary following past paper mark c unionist opposed executive ii uwc strike lead collapse executive reference dislike nationalist saw faulkner betraying unionist sunningdale_agreement set council increased unionist fear united election february nearly per cent unionist voted uuuc candidate', 'r electricity blackout fuel supply strictly controlled hundred road block took place eventually uwc ordered total shutdown army ordered take fuel supply loyalist bomb exploded dublin monaghan unionist determined destroy irish dimension council allow irish republic significant contribution way run unionist believe power shared loyal union anger among unionist left process setting included executive invited sunningdale ira opposed believing fell short wanted united continued bombing campaign', 'tical action rather terrorism though eventually transport fuel key service british prime minister unwittingly increased strike popularity unionist denounced strike called organising sponger sdlp british refused negotiate striker despite fact country standstill chief executive brian_faulkner unionist resigned assembly ending increasing support province wide impact uwc strike led collapse assembly explain people responded introduction refer bullet point use relevant knowledge support opposition', 'set help republic_of_ireland eventually power unionist react introduction unionist uuuc contested assembly election disrupted assembly criticised power_sharing executive contested general election seat uwc strike may brought standstill week industry close regular electricity blackout fuel supply strictly controlled hundred road block took place eventually uwc ordered total shutdown army ordered take fuel supply loyalist bomb set dublin monaghan faulkner supporter ulster unionist party however support', 'ouncil set help republic_of_ireland eventually decision making power way unionist challenge executive refer following unionist uuuc contested fi rst assembly disrupted power_sharing assembly criticised power_sharing executive contested general election seat uwc strike brought standstill week industry close regular electricity blackout fuel supply strictly controlled hundred road block took place eventually uwc ordered total shutdown army ordered take fuel supply']","[2621, 2463, 2460, 2457, 2445]"
1,59,1_extract_ahern_uup_trimble,"['extract', 'ahern', 'uup', 'trimble', 'text', 'tna', 'prem', 'ref', 'catalogue', 'irish']","['unionist', 'negotiation', 'irish language', 'sinn_féin', 'uup irish', 'minister', 'strand negotiation', 'irish', 'legislation', 'transcript']",['Northern Ireland negotiations'],"['extract', 'ahern', 'trimble', 'text', 'extract catalogue', 'tna prem', 'transcript extract', 'transcript', 'minister', 'fri april']","['trying negotiate mitchell behind back policing decommissioning apology prime minister quickly restored relation ahern confirmed ready sign paper strand contingent unionist ready reasonable deal issue notably strand extract catalogue ref tna prem wed april note bilateral meeting meeting side people transcript extract frustrating period followed real negotiation underway key front ahern get back dublin early evening approved strand text negotiated earlier prove unionist irish serious change process effectively stuck', 'unionist irish serious change process effectively stuck eventually arrive bilateral prime minister initial atmosphere chilly irish mistakenly thought trying negotiate mitchell behind back policing decommissioning apology prime minister quickly restored relation ahern confirmed ready sign paper strand contingent unionist ready reasonable deal issue notably strand extract catalogue ref tna prem wed april note tripartite meeting meeting side people taylor john taylor uup politician transcript extract followed crucial tripartite meeting unionist ahern clear ready make compromise', 'applause sufficient consensus achieved stunned silence extract catalogue ref tna prem fri april transcript extract suddenly picture changed rumour reached u following prime minister letter clinton call trimble taken renewed heart called vote narrowly seemed good true trimble quickly rang confirm way clear plenary held mitchell arranged extract catalogue ref tna prem fri april transcript extract plenary relatively devoid drama pressed amendment though adam insisted paper sinn_féin issue concern entered record vote swift said yes except adam said positive text consult annual conference first']","['extract', 'ahern', 'uup', 'trimble', 'text', 'tna', 'prem', 'ref', 'catalogue', 'irish']","['eating failure ira decommission weapon slowed process considerably november senator mitchell helped draft proposal initiated decommissioning assembly met first time pressure sinn_féin ira mounted mitchell said failure decommission society uncertain vulnerable ulster unionist party eventually agreed proposal david trimble adding done bit mr adam jumped follow february june assembly temporarily suspended power returned new secretary state peter mandelson uup grew tired waiting progress ira decommissioning', 'applause sufficient consensus achieved stunned silence extract catalogue ref tna prem fri april transcript extract suddenly picture changed rumour reached u following prime minister letter clinton call trimble taken renewed heart called vote narrowly seemed good true trimble quickly rang confirm way clear plenary held mitchell arranged extract catalogue ref tna prem fri april transcript extract plenary relatively devoid drama pressed amendment though adam insisted paper sinn_féin issue concern entered record vote swift said yes except adam said positive text consult annual conference first', 'method proved ineffective support changing rule give teeth sent without hope meanwhile enlisted clinton help direct phone call trimble cause still looked hopeless although trimble said thing suggested determined make colleague swallow agreement meanwhile delegation getting restive suspicious mitchell still able call expected plenary ratify agreement press outside thought bar shouting beginning get wind might serious trouble extract catalogue ref tna prem fri april transcript extract suddenly picture changed rumour reached u following prime minister letter clinton call trimble taken renewed heart called vote narrowly', 'bar shouting beginning get wind might serious trouble extract catalogue ref tna prem fri april transcript extract trimble eventually brought taylor empey maginnis donaldson see prime minister effectively said text unacceptable unsaleable unionist prime minister let despair show said ready help reopening text delegation clear single biggest issue prospect sitting round cabinet table sinn_féin decommissioning prime minister promised consider left concocted letter trimble making clear month assembly present rule promote method proved ineffective support changing rule give teeth', 'end enlisted david montgomery deployed big picture argument trimble still seemed losing argument share colleague reservation began look hopeless despair took hold extract catalogue ref tna prem fri april transcript extract trimble eventually brought taylor empey maginnis donaldson see prime minister effectively said text unacceptable unsaleable unionist prime minister let despair show said ready help reopening text delegation clear single biggest issue prospect sitting round cabinet table sinn_féin decommissioning prime minister promised consider']","[2724, 1460, 1458, 1457, 1455]"
2,58,2_economic_neill_lemass_new,"['economic', 'neill', 'lemass', 'new', 'economy', 'development', 'visited', 'hospital', 'modernisation', 'xxiii']","['leader neill', 'neill economic', 'economic council', 'neill', 'neill met', 'ministry development', 'economic revival', 'improvement', 'leader catholic', 'establishment economic']",['Economic development initiatives'],"['economic', 'neill', 'lemass', 'visited', 'hospital', 'ministry development', 'modernisation', 'pope john', 'job created', 'new city']","['organise economic revival reform establishment economic council led brian_faulkner investment million economy new economic zone economic incentive given foreign company invest new company michelin goodyear grundig opened factory new job created modernisation modernisation transport motorway railway airport aldergrove new university coleraine train workforce new city craigavon built january heralded first meeting main leader neill taoiseach sean lemass meet stormont neill visited dublin week later political change south political change south increased trade cooperation republic_of_ireland help economic growth cooperation tourism provision electricity supply agreed', 'michelin goodyear grundig opened factory new job created modernisation transport motorway railway airport aldergrove new university coleraine train workforce new city craigavon built political change south january heralded first meeting main leader neill taoiseach sean lemass meet stormont neill visited dublin week later increased trade republic_of_ireland help economic growth cooperation tourism provision electricity supply agreed north offering official condolence catholic_church death pope john xxiii june visiting supporting hospital run catholic_church meeting cardinal conway banning uvf special power act murder wake th anniversary celebration', 'organise economic revival reform establishment economic council led brian falkner investment million economy new economic zone economic incentive given foreign company invest new company michelin goodyear grundig opened factory new job created modernisation transport motorway railway airport aldergrove new university coleraine train workforce new city craigavon built political change south january heralded first meeting main leader neill taoiseach sean lemass meet stormont neill visited dublin week later increased trade republic_of_ireland help economic growth cooperation tourism provision electricity supply agreed']","['economic', 'neill', 'lemass', 'new', 'economy', 'development', 'visited', 'hospital', 'modernisation', 'xxiii']","['attempt improve relation community ii give measure taken improve economy met sean lemass taoiseach irish republic jack lynch taoiseach irish republic sent condolence death pope john xxiii met cardinal visited catholic uvf illegal ii ministry development set organise economic economic zone set attract foreign investment company set new job new city craigavon built', 'important economic economic council established ministry development set drive economic establishment new city called development new university policy positive number multinational firm michelin dupont goodyear ici grundig motorway system oil refinery opened new airport agreement regarding supply electricity agreed total new job created time lost ailing traditional industry linen manufacture', ""wanted improve economy tried result policy march captain terence_o'neill replaced lord brookeborough prime minister right start leadership undermined unionist party oup mp wanted brian_faulkner get job however time oup leader decided group senior party member wanted modernise outdated failing economy number key measure million investment update existing industry attract new road rail network irish trade union congress ituc whose important economic economic council established brian_faulkner"", 'lement reform recommended wilson report aim coordinate economic improvement grant attract multinational company locate million invested improved communication new motorway new city called craigavon built new airport aldergrove neill knew previous leader hostile nationalist wanted reassure make feel less excluded decade change social political modernisation within increased trade republic_of_ireland help economic growth nationalist increasing financial support provided catholic hospital visiting cardinal william conway archbishop armagh spiritual leader catholic visiting run catholic_church offering official condolence catholic_church death pope john xxiii june', 'job created improved communication new motorway new city craigavon built new university coleraine train workforce establishment economic council led brian falkner investment million economy setting ministry development organise economic revival implement reform suggested wilson report incentive given foreign company invest new company michelin goodyear grundig new job created improved communication new motorway airport new university train workforce new city craigavon built establishment economic council led brian_faulkner new university ulster educate skilled workforce ministry development set implement reform recommended wilson report aim coordinate economic improvement']","[2575, 2571, 2570, 2477, 2476]"
3,54,3_sometimes_suppose_talking_thing,"['sometimes', 'suppose', 'talking', 'thing', 'lot', 'well', 'kind', 'get', 'yeah', 'going']","['social medium', 'social', 'talking', 'discussion', 'talk', 'talked', 'critical thinking', 'teach', 'debate', 'thinking']",['Influence of Social Media'],"['talking', 'thing', 'social medium', 'medium', 'trump', 'phone', 'probably', 'social', 'look', 'age']","['talking people whose view world good saying totally wrong saying trump great guy taken context fake news talking guy celebrity sexual assault thing said woman said current celebrity shaved head g yeah g come back yeah yeah yeah social medium kid watch news anymore kid go bbc news go go facebook go bbc news read guardian read newspaper social medium start going alley social medium keep hitting social medium doe', 'pose probably different different suppose kid saying influenced social medium accepting well suppose thinking class talk different view open open tell talk donald trump donald trump good guy got employment rate america done guy talking said googled last week said guy said woman rape said oh true suppose majority accepting kind decent opinion take point view', 'g yeah well said social medium play massive part life suppose teach lot sixth lot topic suppose teach old nice get age kind chat kind even last week talking american election talking talking ensure information good quality topic talk talking reliable biased talked donald trump kid said oh great guy got talking someone ca remember name celebrity talking people whose view world good']","['sometimes', 'suppose', 'talking', 'thing', 'lot', 'well', 'kind', 'get', 'yeah', 'going']","['ever tell personal story life see switching talking topic relating identity people identity especially relates love love might oh mum told time dad suppose relating country switched talking religion learning judaism something doe apply talking catholic protestant flag tell story happened back trouble whatever engage love kind discussion g emm suppose try wee bit everything', 'pose probably different different suppose kid saying influenced social medium accepting well suppose thinking class talk different view open open tell talk donald trump donald trump good guy got employment rate america done guy talking said googled last week said guy said woman rape said oh true suppose majority accepting kind decent opinion take point view', 'cial medium keep hitting social medium doe g yeah well suppose sometimes old chat go tangent talking different quality information ensure good quality information valid biased taught talk quality information getting lead discussion american politics trump talked looked watched trump video saying people eating people dog street saying well true true lying suppose get news social medium influenced g yes g biased valid', 'thing aware people particularly leader caught trusted past whole reputation credibility destroyed b yeah questioning doe questioning looking context work value reliability looking trust getting pick fake news talking today society propaganda early century questioning everything b sure sure lucky situation work well supported', 'little bit nasty somebody bit aggressive speech dominate get stage somebody dominated post note good written work write well sensitive given certain information parent someone family ha passed away topic euthanasia cancer something death abortion sensitive person start lesson look topic want room go sit form tutor well colleague department lesson teaching go somebody else well look happened']","[2765, 2763, 2754, 544, 177]"
4,40,4_good_friday_agreement_referendum_term_group,"['good_friday_agreement', 'referendum', 'term', 'group', 'agreement', 'source', 'republic_of_ireland', 'mark', 'contextual', 'knowledge']","['good_friday_agreement good_friday_agreement', 'referendum good_friday_agreement', 'good_friday_agreement referendum', 'term good_friday_agreement', 'good_friday_agreement', 'good_friday_agreement signed', 'term agreement', 'result referendum', 'referendum', 'agreement agreement']",['Good Friday Agreement'],"['term good_friday_agreement', 'republic_of_ireland', 'contextual knowledge', 'key term', 'study source', 'result referendum', 'good_friday_agreement good_friday_agreement', 'mark explain', 'leaflet', 'split class']","['referendum split class group yes side referendum campaign ask group plan design produce campaign leaflet side tell result referendum split class number group ask group prepare script radio programme result implication referendum asked record present programme rest class ask complete activity background information referendum good_friday_agreement beginning long process eventual peace begin referendum held may people republic_of_ireland asked whether accepted term good_friday_agreement', 'od friday agreement key term response agreement including referendum significance agreement relation britain republic_of_ireland exemplification end section key term good_friday_agreement able explain different response people republic_of_ireland britain good_friday_agreement result referendum appreciate significance good_friday_agreement relation britain republic_of_ireland today suggestion teaching learning complete fishbone diagram explaining reason signing good_friday_agreement provide key term good_friday_agreement ask colour code term suggesting group term aimed', 'ra activist gabriel megahey interviewed bbc tv prepared republican settle hope reunification country accept going happen brit going sail away sunlight go back war going cause misery suffering mostly people struggle peace ben walsh john murray publisher ltd using source contextual knowledge give reason explain republican prepared accept term good_friday_agreement mark activity title good_friday_agreement referendum may key referendum held result referendum instruction give brief overview context referendum good_friday_agreement noting party']","['good_friday_agreement', 'referendum', 'term', 'group', 'agreement', 'source', 'republic_of_ireland', 'mark', 'contextual', 'knowledge']","['ntent end section tudents key term good_friday_agreement able explain different response people republic_of_ireland britain good friday greement result referendum appreciate significance good_friday_agreement relation britain republic_of_ireland today suggestion teaching learning complete fishbone diagram explaining reason signing good_friday_agreement provide key term good_friday_agreement ask colour code term suggesting group term aimed prepare class debate', 'good_friday_agreement unionist supported agreement including pup udp party supported good_friday_agreement john hume sdlp alliance party woman coalition sinn_féin paisley therefore give u perspective politician belief study source reliable source b historian studying reaction politician good_friday_agreement mark explain using source b contextual knowledge target analysis evaluation source reliability make substantiated judgement response include following source may reliable author john hume elected mp', 'imply mean candidate knowledge information source study source useful source historian studying reaction politician talk process including good_friday_agreement mark explain using source contextual knowledge target analysis evaluation source utility make substantiated judgement response include following source useful author ian_paisley leader dup prominent spokesperson unionism elected mp represented view voted party date useful speech beginning talk loyalist paramilitary threatening pull peace process around time', 'mark explain using source contextual knowledge study source reliable source b historian studying reaction politician good_friday_agreement mark explain using source b contextual knowledge sample guidance please note sample response individual able provide developed response depending ability time management candidate doe need include point achieve top response taken consideration using sample response need use source source utility reliability need bring additional evidence factor outside source asks contextual knowledge simply mean candidate knowledge information source study source', 'reates institution respect diversity ensure work together common interest institution part britain respect diversity work common medium using source contextual knowledge give reason explains ian_paisley disagreed talk process mark using source b contextual knowledge give reason explain john hume favour good_friday_agreement mark study source useful source historian studying reaction politician talk process including good_friday_agreement mark explain using source contextual knowledge study source b']","[1893, 1506, 1504, 1503, 1502]"
5,37,5_vote_fewer_council_ward,"['vote', 'fewer', 'council', 'ward', 'local', 'catholic', 'paid', 'protestant', 'boundary', 'house']","['unionist control', 'unionist majority', 'council election', 'vote council', 'ensure unionist', 'unionist', 'local council', 'local election', 'electoral boundary', 'nationalist elected']",['Gerrymandering and Discrimination'],"['council', 'fewer', 'protestant', 'nationalist majority', 'council election', 'vote council', 'gerrymandering', 'local election', 'council house', 'vote local']","['eats stormont saw pointless influence even discrimination took number different form people suspected terrorist behaviour arrested imprisoned without trial special power act stormont got rid proportional representation council election fewer nationalist elected reality ni local council boundary redrawn ensure unionist power nationalist majority called gerrymandering paid rate got vote council election every paid vote given maximum usually meant extra vote wealthy protestant less poorer people tended catholic always catholic given fewer house protestant unionist controlled council house ownership gave vote council election catholic housing inferior often temporary', 'representation local election meant fewer nationalist elected council redrawing boundary local council area ensure controlled unionist even nationalist majority known gerrymandering allowing paid rate vote local election every paid rate vote given maximum usually resulted extra vote wealthy tended protestant vote poor mostly wholly catholic discrimination practised catholic way catholic given fear house protestant council ownership house gave vote local election quality catholic housing inferior catholic less likely job protestant', 'ons establishing ulster special constabulary populated mainly former member uvf new government added power passing special power act allowed arrest detain suspect without holding political response seeming threat nationalism abolition proportional representation local election meant fewer nationalist elected redrawing boundary local council area ensure unionist control even nationalist majority known allowing paid rate vote local election every paid rate vote given maximum usually resulted extra vote wealthy tended protestant vote poor mostly wholly catholic']","['vote', 'fewer', 'council', 'ward', 'local', 'catholic', 'paid', 'protestant', 'boundary', 'house']","['local council boundary ensure unionist control even nationalist majority known allowing paid rate vote local election every paid rate vote given maximum usually resulted extra vote wealthy tended protestant vote poor mostly wholly practised catholic catholic given fewer house protestant ownership house gave vote local quality catholic housing catholic less likely job large situation remained unchanged', 'eats stormont saw pointless influence even discrimination took number different form people suspected terrorist behaviour arrested imprisoned without trial special power act stormont got rid proportional representation council election fewer nationalist elected reality ni local council boundary redrawn ensure unionist power nationalist majority called gerrymandering paid rate got vote council election every paid vote given maximum usually meant extra vote wealthy protestant less poorer people tended catholic always catholic given fewer house protestant unionist controlled council house ownership gave vote council election catholic housing inferior often temporary', 'protestant first nationalist council fewer gave priority nationalist fixing electoral boundary took place unionist controlled council area derry city voting extra vote went business majority protestant special power allowed government arrest interrogate detain people without trial policeman helped ruc reputation unfair treatment catholic government discrimination government job going protestant catholic held senior judicial po total public board member catholic employed publicly owned electricity gas water industry catholic', 'note newry urban district controlled employed protestant wrong make right protestant minority newry area contrast area specified serious unemployment problem newry relatively protestant whereas town catholic make substantial part population right note recent londonderry newry introduced competitive examination system local authority appointment cameron report paragraph parliament disturbance cameron report cmd september belfast hmso first fifty state considerable evidence broad pattern bias', 'rationalised reference proven loyalty necessary test local authority appointment county among driver bus catholic appear clear case sectarian political discrimination armagh urban district employed catholic salaried post appear discriminate lower omagh urban district showed clearcut pattern discrimination though seen appear undoubted evidence employment discrimination tyrone county council fair note newry urban district controlled employed protestant']","[2568, 2466, 2357, 1754, 1753]"
6,37,6_bogside_apprentice_boy_august,"['bogside', 'apprentice', 'boy', 'august', 'troop', 'battle', 'violence', 'belfast', 'annual', 'derry']","['irish troop', 'belfast sectarian', 'movement irish', 'battle bogside', 'broke belfast', 'belfast', 'loyalist angry', 'derry', 'loyalist', 'bogside']",['Sectarian violence conflicts'],"['bogside', 'apprentice boy', 'belfast', 'battle bogside', 'boy parade', 'derry', 'field hospital', 'irish troop', 'troop field', 'broke belfast']","['list conflict began annual apprentice boy parade august middle period frightening violence centred bogside area taoiseach jack lynch issued statement outlining concern deteriorating situation source statement accompanying movement irish troop field hospital border little ease total rioting became known battle bogside lasted hour finally uneasy calm restored londonderry using small number troop however violence flared several provincial town particularly belfast sectarian conflict particularly source b event august later seen turning point development became known trouble', 'er watch happening anxious safety minority community paramilitary group seemed emerging among loyalist angry saw concession concession nationalist among republican apprehensive seeming inability protect nationalist long hot summer violence broke belfast took form mostly loyalist derry began annual apprentice boy parade august middle riot centred bogside area jack lynch taoiseach gave statement outlining concern statement movement irish troop field hospital border little ease tension battle bogside lasted hour finally uneasy calm restored using small number troop', 'among republican apprehensive seeming inability protect nationalist long hot summer violence broke belfast took form houseburning mostly loyalist derry began annual apprentice boy parade august middle riot centred bogside area jack lynch taoiseach gave statement outlining concern statement movement irish troop field hospital border little ease tension battle bogside battle bogside lasted hour finally uneasy calm restored using small number troop confrontation local youth bogside ruc showed ruc inability keep control member violence flared several provincial town particularly belfast sectarian conflict particularly intense']","['bogside', 'apprentice', 'boy', 'august', 'troop', 'battle', 'violence', 'belfast', 'annual', 'derry']","['formation udr ulster defence regiment regiment british army number drank suddenly udr coming home night getting stopped ridiculous thing asking name night first happened turned laugh car seen fairly quickly asking seeing laugh felt physically afraid area stopped night udr conscious protestant loyalist force former member ira lawrence mckeown describes old friend became new enemy source k bear ill bear grudge dirty talk sort bring back life great wee lassie loved profession pet dead heaven meet ask please purpose', 'catholic bogside area captured television damage image roc time serious sectarian violence erupted belfast row house burned ground mostly catholic family driven home people l illed wounded gunfire replaced stone petrol bomb republic prime minister jack lynch threatened intervene irish army unit moved border field hospital opened deal refugee north source existence threat monster violence well issue longer civil light even house andjobs issue whether state sunday time august cage exist battle bogside august', 'catholic bogside area captured television damage image roc time serious sectarian violence erupted belfast row house burned ground mostly catholic family driven home people l illed wounded gunfire replaced stone petrol bomb republic prime minister jack lynch threatened intervene irish army unit moved border field hospital opened deal refugee north source existence threat monster violence well issue longer civil light even house andjobs issue whether state sunday time august cage exist battle bogside august', 'bogside ended direct intervention britain affair riot erupted belfast civil right association called catholic take pressure bogside stretching police catholic protestant killed august following day troop deployed belfast contain violence number effect night protestant mob burnt almost every catholic house bombay street sir ian freeland told press time honeymoon period troop local people likely within month welcome turned violence', 'ent became concerned enough establish cabinet committee first time dublin government sent intelligence officer watch happening anxious safety minority community paramilitary group seemed emerging among loyalist angry saw concession concession nationalist among republican apprehensive seeming inability protect nationalist long hot summer violence broke belfast took form mostly loyalist derry began annual apprentice boy parade august middle riot centred bogside area jack lynch taoiseach gave statement outlining concern statement movement irish troop field hospital border little ease tension']","[2696, 2269, 2077, 2055, 2018]"
7,35,7_parent_child_issue_going,"['parent', 'child', 'issue', 'going', 'suppose', 'happen', 'holiday', 'phone', 'contentious', 'something']","['parent informed', 'issue going', 'parental', 'issue', 'going support', 'consent', 'contentious topic', 'difficult support', 'parent', 'trouble']",['Parental support challenges'],"['parent', 'issue', 'phone', 'contentious', 'consent', 'friday evening', 'protection', 'contentious topic', 'issue going', 'affected']","['room definitely contentious j parent sometimes small number either try communicate open give advanced notice going happen going happen follow often example parental consent consent slip done google form consent exposed talk whatever drug alcohol sexuality going happen certain date try plan contentious topic coming holiday example last week december never bring speaker workshop something divisive affected personal issue going supported christmas holiday', 'might available deal trying trying make sure safe night parent informed issue let going victimised going support mechanism put place difficult done time everyone else ha gone home j parent sometimes small number either try communicate open give advanced notice going happen going happen follow often example parental consent consent slip done google form', 'time everyone else ha gone home j parent sometimes small number either try communicate open give advanced notice going happen going happen follow often example parental consent consent slip done google form consent exposed talk whatever drug alcohol sexuality going happen certain date try plan contentious topic coming holiday example last week december never bring speaker workshop something divisive affected personal issue going supported christmas holiday']","['parent', 'child', 'issue', 'going', 'suppose', 'happen', 'holiday', 'phone', 'contentious', 'something']","['challenge parent well parent doe mean right suppose doe mean right sometimes stand sometimes prepared especially viewpoint fair viewpoint slanted right thing kid pulled parent especially racist comment suppose racist comment got tell parent totally wrong belief disagree take principal stand racism stand kind comment good somebody cross line dealt', 'parent even term phone stuff parent back child want lot parent kind want back child want child backing matter always good thing g respond g suppose suppose try anything contentious something totally wrong term role woman something child comment challenge suppose sometimes parent phone doe mean right listen discussion talked said disagree suppose depends sometimes challenge parent well parent doe mean right', 'need careful totally totally wrong trump ca go home tell parent quickly phone call hand deal said something mean careful sometimes g suppose get thing said last couple parent child side time matter child wrong back child definitely culture shift term parent viewpoint child society yeah definitely shift parent even term phone stuff parent back child', 'taking job whatever good discussion g yeah well well suppose kind encourage put hand brilliant thing prepared talk worst thing tell trump believe believe let discussion able debate g sometimes debate yeah good thing viewpoint suppose got careful saying go back parent need careful totally totally wrong', 'number seen put phone away oh texting rang home parent go need talk child need okay telling bullying open worm either exaggerate incident belief child need ring trust deal child quick able something upset child whereas ago told parent something said right either pretended happen ignored went home forgot internet go home social medium always harassed home']","[2783, 2782, 2781, 2780, 168]"
8,34,8_information_learning_designed_discussion,"['information', 'learning', 'designed', 'discussion', 'meet', 'key', 'topic', 'interaction', 'objective', 'allow']","['learn interact', 'knowledge encourage', 'reinforce knowledge', 'meet learning', 'learning intention', 'plan learning', 'information topic', 'information designed', 'knowledge alternate', 'information various']",['Collaborative Learning Activities'],"['key information', 'meet learning', 'information designed', 'learning objective', 'topic', 'activity allow', 'topic meet', 'allow learn', 'knowledge', 'interact']","['nowledge active learning activity pair researching information together cluster group share information researched order create presentation deliver class possible allow research topic internet suggested additional search engine key information designed cover information within topic meet learning objective discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion', 'suggested additional search engine plenary finish lesson short discussion ask violent learning outcome viewing information presentation give idea violence gripped introduce event outlined key information key information designed cover information within topic meet learning objective discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion', 'ividual knowledge alternate task allows learn interaction another use teach clustering approach engage topic possible allow research topic internet suggested additional search engine key information designed cover information within topic meet learning intention discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion plenary view suggested additional key information detail paramilitary group active trouble']","['information', 'learning', 'designed', 'discussion', 'meet', 'key', 'topic', 'interaction', 'objective', 'allow']","['identify key event within timeline communicate information classmate group completed task class collectively created timeline highlight key information important timeframe possible allow research topic internet suggested additional search engine key information designed cover information within topic meet learning intention discussion key information designed meet learning intention interaction q key information designed meet learning intention understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion', 'lesson information communicate violence gripped using key information choice activity engage may choose split class group ask use discussion point discus issue topic share discussion rest class alternatively may want use introductory progression group discussion test individual knowledge alternate task allow investigate incident preceded followed bloody_sunday bloody friday look event various perspective possible allow research topic internet suggested additional search engine plenary finish lesson short discussion', 'ividual knowledge alternate task allows learn interaction another use teach clustering approach engage topic possible allow research topic internet suggested additional search engine key information designed cover information within topic meet learning intention discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion plenary view suggested additional key information detail paramilitary group active trouble', 'information designed cover information within topic meet learning intention discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion plenary view suggested additional key information detail paramilitary group active trouble watching video serve recap paramilitary active trouble help understand intention group', 'nowledge active learning activity pair researching information together cluster group share information researched order create presentation deliver class possible allow research topic internet suggested additional search engine key information designed cover information within topic meet learning objective discussion key information designed meet learning objective interaction q key information designed meet learning objective understanding information various activity allow learn interact activity serve reinforce knowledge encourage discussion']","[1083, 994, 958, 956, 841]"
